"bb_sd","sim_id","n_iter","burn_in","posterior_mean","posterior_sd","ess","acf_lag1","acf_lag5","acf_lag10","chain_acceptance","p_value"
0,31,10000,500,0.146567893164829,0.0640398426928069,3286.90862186054,0.475429660318795,0.0402561141051299,-0.0141437451498327,0.390939093909391,0.117157894736842
0,1314,10000,500,0.148751565917899,0.06355943618771,2521.53569142297,0.497765708018234,0.0435507009132199,0.0338454104206506,0.377837783778378,0.122631578947368
0,1710,10000,500,0.195714401388636,0.0659791998700108,3117.54735512954,0.494639378158003,0.0379720868249276,0.00297048259573288,0.388738873887389,0.530842105263158
0,1761,10000,500,0.236352386749202,0.0638090647777901,2524.25399235297,0.531917990938916,0.0832831752568366,0.0212668980887834,0.375937593759376,0.0268421052631579
0.4,31,10000,500,0.0868280756205831,0.0622705756800589,2729.49366469307,0.513122062620684,0.0618717943527479,0.0117126661876279,0.391539153915392,0.757578947368421
0.4,1314,10000,500,0.174676759997246,0.066433933367809,2707.96527033579,0.519602980181713,0.0514525012212313,0.0204095894741256,0.379337933793379,0.713157894736842
0.4,1710,10000,500,0.141547196078567,0.0653981481409663,2933.04675484853,0.522233040024136,0.0431782308059859,0.0015148841964709,0.382438243824382,0.0194736842105263
0.4,1761,10000,500,0.0836716715503764,0.068099786926885,2908.14303608886,0.523969657213799,0.034318343571396,0.0195211682860972,0.393739373937394,0.590105263157895
0.8,31,10000,500,0.159252126353242,0.0649892484789008,2989.56039578386,0.511688378048984,0.0287829252265268,-0.00196957678422467,0.378337833783378,0.00610526315789474
0.8,1314,10000,500,0.087379555671764,0.065110735322306,2909.37761891357,0.503485061416649,0.0620862246997042,-0.0235274392514889,0.396139613961396,0.028
0.8,1710,10000,500,-0.0161450249002369,0.0710367598893854,3050.71874131777,0.478751635632544,0.0336415456369765,0.00767834471396538,0.408640864086409,0
0.8,1761,10000,500,0.0685683842921795,0.0684751491473411,3075.21977110372,0.514001652400988,0.0269627309070431,-0.0182230195867598,0.380838083808381,0
